brand,price,fuel,month,year,mileage,power,url
Mercedes-Benz E 220 d AMG Line,38900.0,Diesel,Maio,2017,189900,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-ID8PyIPO.html
Peugeot 207 1.4 16V Trendy,6850.0,Gasolina,Abril,2008,80000,75,https://www.standvirtual.com/carros/anuncio/peugeot-207-1-4-16v-trendy-ID8PzVZM.html
Peugeot 3008 1.5 BlueHDi Crossway EAT8,23000.0,Diesel,Julho,2018,134000,130,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-crossway-eat8-ID8PzVZN.html
Kia Venga 1.4 CRDi TX ISG,8990.0,Diesel,Novembro,2010,223000,90,https://www.standvirtual.com/carros/anuncio/kia-venga-1-4-crdi-tx-isg-ID8PzVZO.html
Fiat 500X 1.3 MJ City Cross,19990.0,Diesel,Março,2020,79500,95,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-city-cross-ID8PzVZK.html
Fiat Tipo Station Wagon 1.6 M-Jet Lounge Tech,18990.0,Diesel,Julho,2019,76000,120,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-6-m-jet-lounge-tech-ID8PzVZL.html
Peugeot 207 SW 1.6 HDi Outdoor FAP,6250.0,Diesel,Maio,2008,269000,110,https://www.standvirtual.com/carros/anuncio/peugeot-207-sw-1-6-hdi-outdoor-fap-ID8PzVZJ.html
BMW X2 18 d sDrive Auto Advantage,31750.0,Diesel,Fevereiro,2019,106700,150,https://www.standvirtual.com/carros/anuncio/bmw-x2-18-d-sdrive-auto-advantage-ID8PwCvw.html
Volvo XC 40 D4 AWD Geartronic Momentum,36850.0,Diesel,Fevereiro,2019,87900,190,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-d4-awd-geartronic-momentum-ID8PtTle.html
Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line,43950.0,Diesel,Maio,2018,171000,170,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-220-d-4matic-9g-tronic-amg-line-ID8Pw4sl.html
